Unnamed: 0,casenum,statenum,vehnum,day,month,year,landuse,age,bodytype,vfatcount,numoccs,modelyr,cellphone_use
70587,116,47,1,29,2,2016,2,23,31,1,1,1995,1
10837,486,13,1,21,5,2015,2,21,14,0,1,2004,1
37898,128,56,2,13,12,2015,2,28,31,0,1,2011,1
62500,230,35,1,22,9,2016,1,45,3,1,1,2009,0
48804,2592,12,1,20,11,2016,1,16,4,1,1,2008,0
44747,3567,6,1,9,11,2016,2,58,4,0,1,1998,1
12736,526,17,1,12,8,2015,1,52,15,1,2,1999,0
61617,26,34,1,2,3,2016,1,24,4,1,1,2002,0
12369,172,17,2,12,4,2015,1,48,4,0,1,2009,0
68533,558,42,2,27,8,2016,1,50,4,0,1,2013,0
54063,65,20,1,27,3,2016,1,76,15,1,1,2007,0
45272,438,8,1,5,10,2016,1,44,31,0,2,2011,1
50242,695,13,2,8,7,2016,1,61,31,1,2,2010,0
26423,931,39,1,23,11,2015,1,68,14,0,1,2006,0
20016,202,29,1,20,3,2015,2,37,20,0,1,2003,1
9331,1948,12,1,5,10,2015,2,31,30,0,1,2003,1
2523,503,5,2,13,11,2015,2,62,15,1,2,2009,0
59904,162,29,1,26,3,2016,1,38,31,1,3,2000,0
34247,2602,48,1,28,10,2015,2,74,2,1,1,2011,0
12207,29,17,1,27,1,2015,2,66,4,1,2,2003,0
51400,180,16,1,10,10,2016,1,32,4,1,1,2001,1
59792,61,29,1,10,2,2016,1,29,6,1,1,2011,1
7094,23,10,1,8,6,2015,1,22,4,1,1,2003,1
78108,360,55,1,3,9,2016,2,32,2,1,3,1995,0
31172,833,47,1,7,12,2015,1,21,31,0,1,1994,1
43028,2080,6,1,13,11,2016,2,34,31,0,1,2014,1
32364,929,48,3,5,5,2015,1,33,4,0,1,2014,0
70541,83,47,1,14,2,2016,1,23,4,1,1,2008,1
51520,55,17,1,12,1,2016,2,19,14,0,1,2002,0
32730,1253,48,1,26,5,2015,1,24,15,1,3,2005,1
12169,187,16,2,30,12,2015,2,36,5,0,1,2015,1
71551,975,47,1,29,12,2016,1,38,3,1,2,1998,1
70983,447,47,2,30,6,2016,2,57,30,1,2,1998,1
9870,2482,12,1,14,12,2015,2,19,4,1,3,2001,1
4580,1757,6,3,3,7,2015,2,26,4,0,1,2010,0
30438,194,47,1,31,3,2015,1,26,4,1,2,1991,1
30236,25,47,3,11,1,2015,1,47,4,0,1,2011,0
29273,217,45,1,16,4,2015,1,28,14,1,4,2004,1
24052,298,37,2,20,2,2015,2,32,31,0,1,2008,1
33109,1593,48,1,17,7,2015,1,19,31,1,1,2001,1
70992,456,47,1,9,5,2016,2,32,31,0,2,2008,1
50005,484,13,1,13,5,2016,1,33,4,1,4,1992,0
2579,40,6,1,12,1,2015,1,64,4,1,2,1998,0
77130,254,53,2,20,7,2016,2,23,4,0,1,2010,0
57912,481,26,1,22,7,2016,1,36,6,1,1,2013,1
40259,156,5,5,13,5,2016,1,54,15,0,2,2007,0
12529,327,17,3,17,6,2015,2,88,14,1,2,2008,0
5435,2510,6,1,12,9,2015,1,26,4,0,1,2005,1
21380,140,32,1,22,4,2015,2,40,15,0,1,2011,0
73439,1606,48,1,17,6,2016,1,18,3,1,1,2013,1
8891,1512,12,1,13,8,2015,1,27,31,1,1,2001,0
18212,629,26,1,27,9,2015,2,22,14,1,2,2007,0
56484,121,24,2,20,5,2016,1,69,4,0,1,1998,0
53,40,1,1,20,1,2015,2,24,4,0,1,2013,1
48966,2741,12,3,19,12,2016,1,45,31,0,5,2006,0
26177,689,39,1,2,9,2015,2,29,4,0,1,2011,0
70427,92,46,1,11,11,2016,1,23,31,1,1,2004,0
59973,226,29,3,21,4,2016,1,30,31,0,2,2012,0
60970,83,31,1,15,6,2016,2,22,4,1,3,2005,0
53028,329,18,1,20,6,2016,1,17,4,1,1,2000,1
61491,45,33,1,13,5,2016,2,19,6,1,3,2004,1
17836,292,26,1,15,6,2015,2,83,4,1,1,2002,0
30238,26,47,1,20,1,2015,2,21,4,0,2,2005,1
35862,377,51,1,6,8,2015,1,55,4,1,1,1995,1
42928,1996,6,1,23,10,2016,1,26,4,1,2,1997,0
43484,2475,6,1,23,8,2016,2,24,4,1,2,2003,1
39880,693,4,1,3,10,2016,2,83,4,1,1,2005,0
58640,90,27,1,23,4,2016,1,25,4,1,1,1999,1
35483,54,51,1,13,2,2015,1,67,31,1,1,1986,0
62724,76,36,1,17,2,2016,1,23,31,0,1,2003,0
14483,59,20,1,20,3,2015,1,32,4,1,1,2005,1
41568,793,6,1,27,2,2016,1,23,14,1,4,1999,1
35474,47,51,1,10,2,2015,1,26,20,0,1,2001,1
19133,70,28,1,21,2,2015,1,26,4,1,4,2000,0
3682,1031,6,1,2,5,2015,2,36,30,0,4,2005,1
65406,62,38,1,23,8,2016,1,49,31,0,1,2016,1
35962,465,51,1,18,9,2015,1,33,4,1,1,2000,1
67876,397,41,2,16,11,2016,1,39,4,1,1,2000,0
70717,232,47,2,17,4,2016,1,22,4,0,2,2005,1
69122,1038,42,2,20,12,2016,2,28,4,1,1,2000,0
40716,44,6,1,6,1,2016,2,22,3,1,1,2004,1
58539,10,27,1,17,1,2016,1,47,4,1,1,2002,1
38919,892,1,1,28,12,2016,1,25,4,1,2,2006,0
30688,403,47,1,12,1,2015,2,37,4,1,2,2000,1
51063,1401,13,1,20,12,2016,1,51,14,1,1,1997,1
75237,3205,48,2,1,12,2016,2,60,15,0,1,2016,0
26501,1003,39,1,26,12,2015,2,50,15,0,5,2015,0
23685,1,37,1,29,1,2015,1,53,14,1,1,1999,1
12936,721,17,1,25,5,2015,2,29,14,0,2,2015,1
15793,155,22,1,4,4,2015,1,26,4,1,1,2006,0
27086,449,40,1,14,10,2015,1,50,4,1,1,1993,0
66362,788,39,2,25,9,2016,2,23,6,0,1,2012,0
31224,880,47,1,25,12,2015,2,64,4,1,1,2015,1
17535,45,26,2,14,2,2015,2,70,4,0,2,2007,0
76612,553,51,3,28,10,2016,1,27,2,1,1,2011,1
71525,950,47,1,20,12,2016,1,48,31,1,1,1994,1
45060,242,8,1,9,7,2016,1,47,6,1,1,2016,1
45294,460,8,1,25,10,2016,2,28,4,1,1,2003,0
28330,572,42,1,16,7,2015,1,23,3,0,1,2002,1
33478,1917,48,1,10,8,2015,1,17,31,0,2,2011,1
66759,50,40,1,21,1,2016,2,43,5,1,1,2003,0
4609,1777,6,1,13,11,2015,1,80,31,1,2,2000,0
61063,160,31,1,20,10,2016,2,27,30,1,1,1998,0
21181,197,31,1,28,11,2015,2,19,4,1,5,2005,0
30161,83,46,1,12,9,2015,1,25,31,1,3,2004,0
64137,332,37,1,10,4,2016,1,18,14,1,3,2002,1
69298,35,45,1,18,1,2016,2,32,4,0,1,2002,0
9004,1617,12,1,23,8,2015,2,52,4,1,1,2003,0
1327,268,4,1,23,4,2015,2,80,4,1,2,2015,0
70990,454,47,1,29,6,2016,1,18,2,2,3,2004,1
61257,127,32,2,7,5,2016,2,55,31,1,1,1992,0
50317,759,13,1,26,7,2016,2,58,4,0,1,2007,0
30848,554,47,1,14,8,2015,2,29,14,1,1,2008,1
65328,1345,37,1,28,12,2016,1,21,2,1,1,1999,0
31610,291,48,1,2,2,2015,1,45,31,1,1,2003,0
26419,927,39,1,19,11,2015,2,54,3,1,1,1999,1
51444,224,16,1,13,12,2016,2,19,4,1,1,1996,1
70692,206,47,2,9,4,2016,1,50,14,0,1,2004,1
1668,595,4,2,21,8,2015,2,34,6,0,1,2011,0
32131,728,48,2,8,4,2015,1,53,1,1,2,1998,1
37851,81,56,1,7,8,2015,1,67,31,0,2,2012,0
70611,134,47,3,5,3,2016,2,48,4,0,3,2015,1
27583,306,41,1,17,11,2015,2,35,4,1,2,2001,0
8796,1424,12,1,26,7,2015,2,21,31,0,1,2005,0
70258,876,45,1,20,12,2016,1,15,31,0,2,2001,0
45868,102,10,1,20,2,2016,1,23,4,1,2,2013,1
75560,3477,48,1,13,10,2016,2,58,15,0,1,2013,1
36485,200,53,1,16,6,2015,2,53,31,1,1,2007,0
16737,132,24,1,2,5,2015,1,18,6,1,1,2003,1
39069,42,2,2,30,7,2016,1,63,15,1,2,2005,0
55235,680,21,1,28,11,2016,1,19,4,0,1,2004,1
72215,572,48,1,9,3,2016,2,25,21,1,1,2008,0
76095,87,51,1,1,3,2016,2,61,15,0,1,2014,1
59737,20,29,1,16,1,2016,1,46,31,1,1,2007,0
31670,342,48,1,19,2,2015,2,21,31,0,1,2010,1
34320,2659,48,1,8,11,2015,2,27,2,1,1,2001,0
31386,94,48,2,13,1,2015,1,21,4,1,1,1999,1
38262,308,1,1,11,6,2016,1,31,16,1,6,1999,1
45245,412,8,1,29,9,2016,1,19,15,1,1,2004,1
49701,246,13,1,12,3,2016,2,31,6,0,1,2016,0
32585,1125,48,2,23,5,2015,2,38,14,0,4,2014,0
1237,170,4,1,26,3,2015,2,21,20,1,5,2005,1
1015,41,2,1,6,9,2015,2,40,2,1,1,2008,1
6769,504,8,1,30,12,2015,2,33,14,0,1,2003,1
45098,277,8,4,24,7,2016,2,37,4,0,1,2016,0
70496,46,47,1,29,1,2016,1,27,14,1,1,2011,1
52789,117,18,1,12,3,2016,1,65,4,1,1,2002,0
17945,391,26,1,16,7,2015,2,28,20,1,4,2001,0
56707,315,24,2,29,7,2016,2,54,4,1,1,2004,0
33398,1852,48,3,1,8,2015,2,24,6,0,1,2009,1
13322,88,18,1,27,2,2015,1,26,20,1,1,2002,0
30960,661,47,1,7,10,2015,2,38,4,0,1,2000,1
54386,368,20,1,10,11,2016,1,56,4,1,1,2000,0
68159,191,42,1,17,3,2016,1,45,2,1,2,2003,1
71817,224,48,1,31,1,2016,1,36,31,0,1,2004,1
2061,97,5,2,22,3,2015,1,70,4,1,3,2012,0
53948,337,19,1,13,12,2016,1,35,4,0,1,2003,0
801,645,1,2,23,11,2015,1,25,4,1,3,2004,0
76052,50,51,1,18,2,2016,1,74,31,1,1,2011,0
21495,239,32,1,7,11,2015,2,25,4,0,3,2009,0
1229,163,4,2,18,3,2015,2,26,4,0,1,2015,1
35949,454,51,1,13,9,2015,1,31,4,1,3,2001,1
6649,404,8,1,9,10,2015,1,72,2,1,1,2009,1
7520,264,12,1,28,2,2015,1,21,4,1,1,2011,1
54354,337,20,1,14,11,2016,1,21,14,0,1,2004,0
29311,246,45,2,28,4,2015,1,45,31,1,1,2004,0
51002,1352,13,1,9,12,2016,1,46,4,1,1,2016,1
8164,860,12,1,9,5,2015,2,32,30,1,1,2007,1
16717,117,24,1,6,4,2015,2,19,4,2,5,2004,1
72038,426,48,1,21,2,2016,2,36,2,0,1,2008,1
70548,88,47,1,20,2,2016,2,43,15,1,1,2000,1
32471,1026,48,1,16,5,2015,2,28,14,1,1,2003,0
31622,303,48,1,10,2,2015,2,23,2,0,1,2008,1
36179,658,51,1,17,12,2015,1,61,14,1,1,2005,1
32112,714,48,1,6,4,2015,1,19,14,1,1,2001,1
76691,616,51,1,28,11,2016,2,32,4,2,2,1999,0
63257,548,36,1,30,7,2016,1,29,31,0,1,2004,1
14191,71,19,1,29,4,2015,2,30,20,1,1,2000,1
36598,320,53,1,19,6,2015,2,29,6,0,1,2000,1
47497,1396,12,2,2,7,2016,2,23,4,1,1,1995,1
56005,568,22,1,21,10,2016,2,51,2,1,1,2013,1
55498,136,22,1,13,3,2016,2,21,31,1,2,2011,1
75682,55,49,2,22,4,2016,1,34,4,1,3,2005,0
16989,359,24,1,22,10,2015,2,35,4,0,1,2011,0
52787,114,18,1,11,3,2016,2,22,15,0,1,1999,1
24496,673,37,2,17,5,2015,1,18,4,0,1,2002,0
9737,2355,12,2,23,11,2015,2,29,31,0,2,1993,0
54831,348,21,1,4,5,2016,2,38,14,0,1,2002,1
50771,1162,13,1,24,10,2016,1,84,31,1,1,1998,1
13016,799,17,1,1,12,2015,1,28,4,0,1,2004,0
75650,29,49,1,20,3,2016,1,21,4,0,2,2006,1
70566,98,47,1,25,2,2016,1,50,20,1,1,1993,1
61718,116,34,1,25,3,2016,1,24,14,0,1,2002,0
71524,949,47,1,19,12,2016,2,18,4,1,1,2006,1
52809,135,18,1,6,3,2016,2,29,14,0,1,2001,0
74372,2460,48,1,19,9,2016,1,30,30,1,1,2006,1
28258,491,42,1,2,7,2015,2,33,6,1,1,2014,0
65627,133,39,3,21,3,2016,2,28,6,0,1,2016,0
3720,1057,6,1,25,5,2015,2,51,16,0,1,2006,1
74052,2174,48,2,19,8,2016,1,23,21,0,1,2013,1
36154,633,51,1,6,12,2015,2,54,20,1,7,2001,0
52445,896,17,1,13,11,2016,2,79,14,0,1,2007,0
26346,853,39,3,22,10,2015,2,77,31,0,2,2015,0
5835,2847,6,2,19,11,2015,2,49,6,0,2,2010,0
22452,191,35,1,2,10,2015,1,45,30,1,1,1997,1
55668,278,22,1,24,5,2016,1,35,4,1,1,2005,1
9960,2567,12,1,19,12,2015,2,34,4,0,1,2012,1
61861,239,34,3,3,7,2016,2,44,4,0,1,2010,0
36706,404,53,3,10,10,2015,1,66,2,0,4,1992,0
6130,3091,6,2,22,12,2015,2,40,4,1,3,2007,0
39684,512,4,1,24,8,2016,2,20,14,1,1,2013,1
76325,293,51,2,17,6,2016,2,55,14,1,1,1997,1
834,673,1,1,9,12,2015,2,42,14,1,1,2013,0
37447,252,55,1,23,7,2015,1,23,31,0,1,2003,1
72974,1213,48,1,21,5,2016,2,31,4,0,1,2009,1
42440,1569,6,1,31,8,2016,1,85,4,1,2,2009,0
24905,1009,37,1,27,10,2015,2,17,3,0,2,2002,0
5843,2851,6,1,16,4,2015,2,27,5,1,1,2013,0
77955,211,55,1,15,6,2016,2,38,6,1,2,2007,1
15363,489,21,1,1,10,2015,1,26,31,2,2,2000,1
61053,155,31,1,17,10,2016,2,29,3,1,1,2013,0
746,595,1,2,4,11,2015,1,51,15,0,1,2011,0
23869,150,37,1,24,2,2015,1,55,5,1,1,2006,0
15630,18,22,1,3,1,2015,2,34,4,1,1,2002,0
16494,70,23,1,4,8,2015,1,21,15,0,1,2000,1
22193,470,34,1,5,11,2015,2,23,4,1,2,2007,0
44891,91,8,1,11,3,2016,2,21,14,0,2,2006,0
31223,879,47,2,22,12,2015,2,60,5,1,1,2007,1
60034,277,29,1,28,5,2016,1,22,4,1,1,2002,1
6140,3099,6,1,23,9,2015,2,23,5,0,1,2015,1
