Unnamed: 0,casenum,statenum,vehnum,day,month,year,landuse,age,vfatcount,numoccs,modelyr,cellphone_use
1497,1362,12,1,11,6,2016,2,40,0,1,2008,1
836,191,42,1,17,3,2016,1,45,1,2,2003,1
1356,822,42,1,8,11,2016,2,21,0,2,2008,1
505,974,26,3,24,12,2016,2,71,0,1,2007,0
1467,504,8,1,30,12,2015,2,33,0,1,2003,1
1200,870,4,1,27,12,2016,2,33,0,1,2006,1
1630,593,22,1,25,9,2015,2,20,1,1,2011,1
150,3049,12,1,25,9,2016,2,23,1,1,2008,0
38,313,17,1,22,3,2015,2,19,0,3,2005,0
599,1269,37,1,18,12,2016,1,19,0,1,2001,0
1612,196,21,1,30,4,2016,1,35,1,1,1995,1
977,730,48,2,20,3,2016,1,18,3,4,2013,1
455,424,42,1,26,6,2016,1,73,0,2,2016,0
646,1298,13,2,22,12,2015,2,45,0,3,2003,0
1500,577,48,1,22,3,2015,1,17,2,2,2000,1
412,40,34,2,23,2,2015,2,46,0,2,2014,0
139,525,36,1,16,8,2015,1,31,2,3,2002,0
814,716,22,1,28,10,2016,2,35,1,1,2014,0
1046,890,47,5,26,11,2016,2,18,0,1,2002,1
438,1839,48,1,3,7,2016,1,52,1,1,2013,0
849,1287,13,1,23,11,2016,1,61,2,2,2010,1
163,1356,48,1,10,5,2015,2,18,0,1,2005,0
483,109,51,1,17,3,2015,2,58,0,1,2005,0
5,1101,12,2,29,5,2016,1,65,1,1,2010,0
634,69,27,4,1,4,2016,2,45,0,1,2009,0
361,910,17,1,29,11,2015,2,26,1,1,2007,0
269,1625,48,2,26,6,2016,1,26,1,1,1997,0
179,216,12,3,5,3,2016,2,35,0,3,2015,0
223,53,13,2,18,1,2016,2,34,0,2,2006,0
1157,931,47,1,14,12,2016,1,73,1,1,2008,1
356,1523,6,1,7,7,2015,2,34,1,3,2007,0
488,824,36,4,30,10,2015,2,27,0,1,2004,0
847,395,13,1,20,4,2016,1,20,1,1,2004,1
519,415,41,1,26,11,2016,2,58,1,1,2004,0
1542,680,21,1,28,11,2016,1,19,0,1,2004,1
1306,394,18,1,10,6,2015,2,54,2,2,1994,1
1435,357,25,1,14,10,2016,2,17,1,3,2003,1
339,780,18,1,28,12,2016,1,33,1,2,2000,0
42,2268,48,1,26,9,2015,2,22,1,1,2011,0
735,213,51,1,21,5,2016,1,28,1,1,1994,0
146,2342,12,1,2,12,2015,2,46,0,1,2010,0
1658,561,48,1,19,3,2015,1,38,1,1,1996,1
1450,1862,12,1,25,9,2015,2,45,0,1,2000,1
963,56,10,1,6,8,2016,2,18,0,2,2014,1
1486,318,47,2,16,5,2016,1,73,0,1,2002,1
536,119,16,1,20,7,2016,1,54,1,1,1989,0
481,107,21,1,15,3,2016,2,48,0,1,1999,0
1518,2881,6,1,20,11,2015,2,24,0,1,2002,1
1625,645,47,1,25,9,2015,1,57,1,1,2006,1
291,208,6,1,8,2,2015,2,49,1,1,1996,0
1146,329,18,1,20,6,2016,1,17,1,1,2000,1
1241,352,17,1,29,6,2015,1,58,1,1,1999,1
857,689,47,2,24,9,2016,1,38,0,1,2002,1
622,656,26,1,2,10,2015,2,72,0,1,2001,0
71,875,6,1,20,4,2015,2,80,0,1,2009,0
1050,59,20,1,20,3,2015,1,32,1,1,2005,1
875,1031,6,1,2,5,2015,2,36,0,4,2005,1
870,455,39,1,5,7,2015,1,16,0,2,2012,1
1618,330,21,1,17,6,2016,2,68,1,1,2007,1
362,466,24,3,27,12,2016,2,42,0,1,2012,0
70,423,12,1,5,1,2016,2,57,0,2,2009,0
1404,29,49,1,20,3,2016,1,21,0,2,2006,1
91,988,6,1,24,5,2015,2,28,0,1,1999,0
1461,1640,6,1,28,9,2015,1,22,1,3,2009,1
1276,507,17,1,16,7,2016,2,28,0,1,2008,1
1263,211,55,1,15,6,2016,2,38,1,2,2007,1
1544,1136,13,1,12,11,2015,1,19,1,1,2005,1
1097,378,8,1,10,9,2016,2,34,1,4,2016,1
95,15,32,1,22,1,2016,2,51,1,1,1995,0
392,283,34,2,21,6,2016,2,17,0,4,2010,0
600,413,48,1,25,2,2015,1,80,1,1,2007,0
1191,2644,12,1,7,12,2016,2,25,1,1,2005,1
292,314,47,1,30,5,2015,1,22,1,1,1992,0
882,2205,48,1,26,8,2016,1,29,1,2,2012,1
1140,1277,37,1,26,12,2016,2,27,0,1,1998,1
320,430,40,1,30,9,2015,1,21,0,1,2008,0
1396,531,47,1,20,8,2015,2,16,0,1,2004,1
110,86,13,1,27,1,2015,2,15,1,2,2005,0
1100,26,47,1,20,1,2015,2,21,0,2,2005,1
1295,613,39,2,28,8,2015,2,28,0,1,2001,1
93,2853,12,1,2,12,2016,2,21,0,1,2000,0
1525,3077,48,1,23,12,2015,1,19,1,2,1997,1
633,58,45,2,30,1,2016,1,77,1,2,2012,0
1234,833,12,1,23,4,2016,2,22,1,2,2006,1
1505,205,13,1,4,3,2015,1,28,1,1,1990,1
1019,465,51,1,18,9,2015,1,33,1,1,2000,1
1651,447,47,2,30,6,2016,2,57,1,2,1998,1
1557,708,47,3,22,9,2016,1,32,0,1,2002,1
156,362,27,1,31,12,2016,2,46,0,1,2012,0
1096,265,48,1,5,2,2016,1,29,1,3,2001,1
1464,341,47,1,26,5,2016,1,26,0,1,1999,1
365,271,40,1,3,7,2016,1,23,2,2,2008,0
157,307,29,1,3,6,2016,1,39,1,1,1997,0
171,47,6,1,7,1,2015,2,93,0,1,2001,0
1358,96,19,1,4,6,2015,1,38,1,1,2012,1
716,1047,48,1,23,4,2016,2,19,1,1,1997,0
230,3,8,2,4,1,2015,2,39,0,2,2007,0
1125,1172,13,1,27,10,2016,2,43,1,1,2002,1
1139,419,47,1,20,6,2016,1,46,0,1,2003,1
458,583,48,1,23,3,2015,2,41,0,2,2011,0
1072,997,12,1,15,5,2016,1,32,2,2,2005,1
286,365,4,1,7,6,2015,2,26,0,1,1994,0
734,2553,48,1,8,10,2016,1,22,0,1,2002,0
94,767,48,2,18,4,2015,2,39,0,4,2014,0
631,3323,48,3,18,12,2016,2,53,0,1,2005,0
162,775,29,1,4,12,2016,2,24,1,2,2011,0
1150,1917,48,1,10,8,2015,1,17,0,2,2011,1
815,98,20,1,13,3,2015,1,79,0,1,2005,0
430,1967,12,1,10,9,2016,2,21,0,3,2011,0
431,335,27,1,29,11,2016,1,15,1,2,2000,0
830,1130,12,1,20,2,2016,2,16,1,1,2006,0
1556,28,12,1,22,1,2016,1,28,1,1,2004,1
723,571,39,1,20,7,2016,1,22,1,1,2013,0
942,175,49,1,31,8,2015,2,67,0,1,2000,1
387,305,51,1,29,6,2016,1,80,1,1,2001,0
380,477,45,2,24,7,2015,2,38,0,1,2015,0
1269,438,34,2,3,8,2016,2,28,0,1,2014,1
1118,87,51,1,1,3,2016,2,61,0,1,2014,1
1235,1325,6,2,28,5,2015,2,45,0,1,2006,1
757,4,38,1,20,1,2016,1,43,1,1,2004,0
1197,695,47,1,14,9,2016,2,38,1,1,2016,1
1112,420,29,1,18,7,2016,1,52,1,1,2005,1
1215,202,48,1,29,1,2016,1,27,1,8,2003,1
1413,2479,48,1,19,10,2015,2,27,1,1,2012,1
1303,264,12,1,28,2,2015,1,21,1,1,2011,1
