"","casenum","statenum","vehnum","persontotal","agemin","agemax","numfatal","day","month","year","modelyear","make","cellphoneuse"
"1",3,1,1,2,20,31,1,1,1,2015,2008,20,0
"2",21,1,1,3,33,85,1,23,1,2015,2014,12,0
"3",27,1,1,1,69,69,1,17,1,2015,2014,41,0
"4",27,1,2,1,25,25,0,17,1,2015,2012,35,0
"5",30,1,1,4,21,50,4,24,1,2015,2014,20,0
"6",30,1,2,1,37,37,1,24,1,2015,2014,35,0
"7",34,1,2,3,50,79,1,15,1,2015,2008,20,0
"8",34,1,5,2,68,72,0,15,1,2015,2009,13,0
"9",34,1,6,1,63,63,0,15,1,2015,2008,20,0
"10",36,1,2,2,23,24,1,19,1,2015,2012,7,0
"11",48,1,1,4,16,24,2,24,1,2015,2013,35,0
"12",53,1,1,3,17,47,1,1,2,2015,2010,37,0
"13",67,1,3,3,1,35,0,11,2,2015,2013,55,0
"14",75,1,2,3,1,59,0,10,2,2015,2008,37,0
"15",79,1,1,2,31,32,1,7,3,2015,2014,20,0
"16",93,1,1,1,29,29,1,9,3,2015,2012,12,0
"17",93,1,2,1,29,29,1,9,3,2015,2014,49,0
"18",95,1,2,5,7,50,3,2,3,2015,2012,20,0
"19",95,1,7,2,41,44,0,2,3,2015,2014,36,0
"20",95,1,8,1,28,28,0,2,3,2015,2010,49,0
"21",105,1,1,2,29,39,1,6,3,2015,2012,55,0
"22",121,1,2,2,29,32,0,8,3,2015,2014,20,0
"23",123,1,2,2,73,76,1,16,3,2015,2012,49,0
"24",136,1,1,2,22,22,1,28,3,2015,2013,7,0
"25",139,1,2,2,0,29,0,3,4,2015,2008,20,0
"26",141,1,2,1,51,51,1,2,4,2015,2008,59,0
"27",141,1,3,1,53,53,0,2,4,2015,2012,12,0
"28",141,1,8,1,62,62,0,2,4,2015,2015,12,0
"29",141,1,9,6,3,73,0,2,4,2015,2015,6,0
"30",155,1,1,2,16,21,1,30,3,2015,2010,7,0
"31",161,1,1,1,27,27,0,30,3,2015,2010,49,0
"32",161,1,2,2,74,77,1,30,3,2015,2013,19,0
"33",170,1,1,2,19,66,1,8,4,2015,2008,7,0
"34",170,1,2,2,15,51,0,8,4,2015,2010,34,0
"35",180,1,2,1,48,48,0,18,4,2015,2014,7,0
"36",180,1,3,1,45,45,0,18,4,2015,2014,63,0
"37",182,1,1,1,53,53,0,19,4,2015,2012,49,0
"38",182,1,2,1,83,83,1,19,4,2015,2010,12,0
"39",190,1,1,4,10,44,1,8,4,2015,2015,54,0
"40",191,1,1,2,29,29,1,25,4,2015,2010,12,0
"41",195,1,2,2,69,92,2,22,4,2015,2015,12,0
"42",218,1,1,2,87,88,1,4,5,2015,2010,37,0
"43",219,1,1,2,4,30,2,4,5,2015,2008,6,0
"44",223,1,2,5,35,61,1,1,5,2015,2015,30,0
"45",230,1,1,2,24,26,1,24,5,2015,2014,49,0
"46",237,1,1,2,18,18,1,3,5,2015,2010,7,0
"47",241,1,1,2,80,83,1,11,5,2015,2008,41,0
"48",271,1,2,2,65,66,1,29,5,2015,2008,37,0
"49",284,1,2,4,17,18,0,28,5,2015,2008,12,0
"50",286,1,1,2,51,55,0,30,5,2015,2011,32,0
"51",286,1,4,1,53,53,1,30,5,2015,2015,35,0
"52",299,1,1,1,36,36,0,12,6,2015,2015,2,0
"53",299,1,2,1,81,81,1,12,6,2015,2014,49,0
"54",304,1,1,3,5,35,1,6,6,2015,2014,35,0
"55",304,1,2,1,51,51,0,6,6,2015,2013,20,0
"56",321,1,1,1,86,86,1,17,6,2015,2008,20,0
"57",321,1,2,2,60,62,0,17,6,2015,2012,20,0
"58",323,1,1,2,49,51,1,21,6,2015,2015,7,0
"59",329,1,1,1,22,22,1,26,6,2015,2008,52,0
"60",329,1,2,1,29,29,0,26,6,2015,2013,55,0
"61",342,1,1,1,80,80,1,3,7,2015,2012,20,0
"62",342,1,2,4,15,53,0,3,7,2015,2009,54,0
"63",343,1,6,4,7,45,0,2,7,2015,2008,12,0
"64",343,1,7,1,25,25,0,2,7,2015,2011,20,0
"65",348,1,1,3,12,47,3,7,6,2015,2008,20,0
"66",349,1,1,5,5,86,1,17,6,2015,2014,12,0
"67",356,1,1,1,27,27,1,5,7,2015,2009,22,0
"68",356,1,3,1,43,43,0,5,7,2015,2010,42,0
"69",365,1,1,2,10,39,0,29,7,2015,2012,63,0
"70",368,1,2,2,20,21,0,25,7,2015,2008,49,0
"71",380,1,1,2,32,43,1,1,7,2015,2011,55,0
"72",384,1,2,1,69,69,1,7,7,2015,2008,20,0
"73",384,1,3,5,7,37,0,7,7,2015,2012,49,0
"74",386,1,2,2,23,25,0,9,7,2015,2013,12,0
"75",391,1,1,1,64,64,1,11,7,2015,2015,20,0
"76",391,1,2,2,25,28,0,11,7,2015,2009,12,0
"77",407,1,1,2,37,64,1,19,7,2015,2013,7,0
"78",411,1,1,1,31,31,0,2,8,2015,2010,35,0
"79",411,1,2,3,73,75,1,2,8,2015,2008,23,0
"80",416,1,1,1,84,84,1,7,8,2015,2010,12,0
"81",416,1,2,1,35,35,0,7,8,2015,2011,49,0
"82",419,1,1,2,21,51,2,7,8,2015,2009,12,0
"83",434,1,1,2,41,44,1,13,8,2015,2012,20,0
"84",451,1,3,5,68,97,0,15,8,2015,2012,37,0
"85",460,1,2,2,65,70,1,18,8,2015,2012,20,0
"86",467,1,1,1,23,23,0,29,8,2015,2008,35,0
"87",467,1,2,2,28,39,1,29,8,2015,2009,55,0
