WorkerId,Cheater,Failed Acs,Number Approved,Number Rejected,Total Annotated,
A12SALDGX9429J,1,1,122,55,177,MARKED A MAJORITY AS APPROVES WHEN THEY AREN'T
A13O5S4PPBN7X7,1,0,7,6,13,MARKED ALL AS APPROVED
A13YH9YNHZXBJE,1,1,59,14,73,FAILED A FEW AND FAILED AN ATTENTION CHECKER
A1C8FN01981A69,0,0,24,0,24,
A1EML2S07HJMH7,1,1,56,60,116,MISSED VERY CLEAR ONES AND FAILED ATTENTION CHECKERS AND AT THE END MARKED ALL APPROVED
A1HNR6OIRFCEHS,0,0,6,0,6,
A1NENB83QRIAU,1,0,21,3,24,TOOK A LONG TIME ON EACH AND MISSED A FEW
A1PBE0H6PNJIRO,0,1,60,1,61,
A1QXU4Q3CK75FK,1,0,4,2,6,MARKED ALL AS APPROVED
A1TGA5EM4IJRXZ,1,0,1,2,3,MARKED A MAJORITY AS APPROVES WHEN THEY AREN'T
A1XPNXTMCXVGDT,1,1,48,6,54,Failed a few and FAILED AN ATTENTION CHECKER
A1YSYI926BBOHW,0,0,49,0,49,
A20WY925Z7YPH1,0,0,2,0,2,
A21JMAOI5PS9QH,0,0,1,0,1,
A22613LATQKY0C,0,0,2,0,2,
A22CRWMZUX7FFR,0,0,23,0,23,
A236EA5G67TH5C,0,0,1,0,1,
A23XGAACQZNKQV,0,0,3,1,4,
A24DTU9HOGIJC1,0,0,8,0,8,
A25J3BIDQ7GW9I ,1,1,2,2,4,FAILED A FEW AND FAILED AN ATTENTION CHECKER
A298J6JKK4Q2XN ,1,0,136,33,169,FAILED A FEW THAT DIRECTLY STATED NO TEXTING AND DRIVING
A2HGYNZ046TB9V,1,0,2,2,4,MARKED ALL AS APPROVED
A2IYD10LBEH6AT,0,0,66,0,66,
A2K0JQDTZ0DAE1,0,0,2,0,2,
A2LSOA4PV13MEX,0,0,1,0,1,
A2MCG5W6LHSRG9,0,0,35,0,35,
A2MI45TMDWRNZU,0,0,1,0,1,
A2N2X7J90J3NA,0,0,4,0,4,
A2NK67A23XP83H,1,0,19,5,24,ALTERNATING DISAPPROVES APPROVES
A2WIN8UD6FZWQN,0,0,1,0,1,
A2Y5EUOYW8TXX,0,0,62,0,62,
A2ZIZIKU4OLX94,0,0,17,10,27,MISSED A LOT NOT SURE IF THEY WERE CHEATING OR NOT
A301X9EE0SXTYL,1,1,52,28,80,ALTERNATING DISAPPROVES APPROVES
A36EOEBVBUTO85,0,0,21,0,21,
A3D4BKBC0RRBYQ,1,0,5,5,10,MARKED ALL AS APPROVED
A3G1W17JD33POP,1,1,34,49,83,MARKED A MAJORITY AS APPROVES WHEN THEY AREN'T
A3KQEFX15OV461,0,0,32,0,32,
A3LCAFPHQMCEDV,0,0,3,0,3,MAY HAVE MISS READ INSTRUCTIONS
A3NOXFQNEWTIDF,1,1,58,93,151,MARKED ALL AS APPROVED
A3NZAEOHAO5LT6,0,0,25,0,25,
A3O1I9MATO3ZZN,0,1,98,1,99,
A3TTNGV1Y7ZZP7,0,0,35,3,38,
A3V8KGKKM5ZDH0,1,0,42,17,59,BEGAN ALTERNATING DIS AND APPROVE AT THE END
A3V8LIMUUJWUTL,0,0,40,0,40,
A3W0C04EXOY12C,1,1,34,66,100,SAID APPROVES TO ALL
A9HVFM0YUY00Q,0,1,33,1,34,
AAL4GYUQ80AY7,1,0,16,10,26,MISSED VERY CLEAR ONE
AB98SGS280TY5,0,0,22,1,23,
AOH1ZTM5CE2L5,0,0,1,0,1,
ATCRNOBE8FX70,1,0,20,21,41,MARKED A MAJORITY AS APPROVES WHEN THEY AREN'T
AVR6OLSOLDVGE,1,1,9,14,23,MARKED A MAJORITY AS APPROVES WHEN THEY AREN'T
AW5CAVAQBYOLE,1,0,48,15,63,MISSED CLEARLY MARKED ONES
,,,,,,
Total Cheaters:,22,,Total Rejected:,526,,
