id,text
1114874670828806144v,"RT @oconnorshane: Texting And Driving Could Run A Higher Risk Than Usual in the US This Month, ‘National Distracted Driving Awareness Month…"
1113183519688278016g,@G0dZeus1 @Shrawnyy @timthetatman @FortniteGame Sorry for the spelling boys texting ranting while driving isn’t a good idea :face_with_tears_of_joy::face_with_tears_of_joy:
1114441537461653504h,RT @love_corey: I seen this lady texting and  driving on the highway the other day this is not safe #likeitornot @MarinaMarraco @nicksmithn…
1114223675652419584j,It's distracted driving awareness month and California Highway Patrol is cracking down on distracting activities like eating and texting. @_Ezelidon  spoke with one woman who was hit head-on by a distracted driver while her 10-month-old was in the car. https://t.co/ss0wThk4bd
1114882074761154560z,"@AkokoFelix Means everything! Every weekend I go out, I’m concerned about drunk people driving or texting...."
1114027595950170112i,"@Slinky_The_Cat @TinyPearlCat @moothemousecat @cobalttash @CinniMini2 Yeah it’s crummy  _ now I’m driving in the pouring rain I’m using the voice activation so better than texting but I still should be paying Maybe I’ll check when I get home and see if any late night pawtiers Are still up , otherwise hopes to see you next week! #nipclub"
1115036273922781186f,IM NOT KIDDING. then he started texting while driving.. a MOTORCYCLE!! https://t.co/cyXtRsczDk
1115645727336738818b,@GadSaad No texting and driving!
1113583271537987584r,RT @PlasticSafety: What can be done to prevent texting while driving when we feel pressure to always multitask?   https://t.co/XBljGzZpLe
1115303912444051456o,Time for some more campaigns against texting while driving @nzta_news @NZTAAkl @NZTAWgtn @NZTAWaiBoP @NZTACWC @NZTAeducation @nzpolice https://t.co/ff2Q3WjUdJ
1114917568471498753b,":hundred_points::hundred_points::hundred_points: Although we all want safer drivers on the road, we are very lackadaisical when it comes to texting and driving. This is where trying to communicate the intangible or often avoided/ ignored can only be done through ART and an understanding of CONTEXT. @OnAEA https://t.co/YH1jlUknfg"
1113848312925495297x,"I hate driving, especially in a big city. I’ll look to my left or right and see you dumb bitches texting"
1112791900329791495v,Officer: you are texting & driving  Me: no I'm not  Officer:  Me: I'm explaining to my father that citing fox news in his climate change denier argument is ideologically lazy and that calling AOC hysterical is inherently sexist bc of the history of the word's usage  AND  driving https://t.co/R4moHINj5j
1113956182367059969u,"Well fuck. That's what I get for texting and driving. But fuck yes to answer your question, @josemangin"
1115652184035737606i,Do you use Waze? Other GPS? You'd be amazed at how many people think that distracted driving only includes texting. Make sure you know what you're getting yourself into when you use your phone while driving. https://t.co/lyNPTg4nXQ
1113839342043181060r,Bans on texting while driving tied to drop in hospital visits for crash injuries https://t.co/tyPhdNozEe
1115712760019427328b,"@SDSheriff @NHTSAgov I have my Apple cell phone set so when I get a text while I am driving, the person texting gets an automatic message that I will respond when I have reached my destination. Available on all phones and easy to set up under ""Do not Disturb"" in Settings."
1115283348874825729y,@nytimes So who’s gonna sue Budweiser or Miller for DUI deaths or Apple for deaths from texting and driving? Grief is hard but being stupid doesn’t fix it!
1114341899337228288l,"Since I understand the physics of collision in stop-go-traffic, I much rather take the car service Escalades and Suburbans; people driving while texting and ironing their clothes tend to collide less with giant black SUVs; probably think they are governmental. Also, mass."
1113249712042151936z,:construction:Distracted Driving Awareness Month:construction: #Texting while driving is SIX times more dangerous than driving while intoxicated. Your #longbeachfirefighters want to encourage you NOT to use your phone while driving! #JustifyIt #distracteddrivingmonth  #longbeach #DontTEXTandDRIVE #iaff https://t.co/RytaffztsZ
1114106856350392321g,RT @emmasonny1123: I see 110% more adults texting and driving than teenagers
1114245822575710208r,"""Texas A&M School of Public Health researchers found that states with a primary texting ban on all drivers on average saw an 8% reduction in ED visits resulting from a motor vehicle crash.""  Full story: https://t.co/F8b9PdU6Xm"
1115223123203448833d,68% of teens admit to checking apps while driving.  Parents can have peace of mind by giving their teen a dash cam.  _ #driving #texting #safety #donttextanddrive #dashcam #teendrivers https://t.co/yMV7BIEs30
1115404031604789248j,@TM2LeahDawn :face_with_tears_of_joy::face_with_tears_of_joy: like others don’t do the same. People are so damn judgmental! I’m sure the ones talking smack also are texting and driving while talking smack.
