HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.id,Input.text,Answer.taskAnswers,Approve,Reject
3A520CCNWPJ0YWZUR6LK6DOOWWSAEB,3YT1BAKETL93V15G0IH31R3NDALPH6,Tweet Opinion on Texting and Driving,Classify the opinion expressed in the tweet.,"classification, text",$0.01 ,Sat Apr 13 15:29:24 PDT 2019,3,BatchId:233912;OriginalHitTemplateId:921587277;,3600,259200,Sat Apr 20 15:29:24 PDT 2019,,,358UUM7WR2MABI4UWBY1JDGXGPGR7B,ARUVZL9T2O9I9,Submitted,Sat Apr 13 16:22:55 PDT 2019,Sat Apr 13 16:23:00 PDT 2019,Tue Apr 16 16:23:00 PDT 2019,,,,5,100% (22/22),100% (22/22),100% (22/22),1114874670828806144v,"RT @oconnorshane: Texting And Driving Could Run A Higher Risk Than Usual in the US This Month, ‘National Distracted Driving Awareness Month…","[{""classification"":{""label"":""Disapproves""}}]",,
3SCKNODZ0ZZM90E9D2CJM9G79GN7N6,3YT1BAKETL93V15G0IH31R3NDALPH6,Tweet Opinion on Texting and Driving,Classify the opinion expressed in the tweet.,"classification, text",$0.01 ,Sat Apr 13 15:29:24 PDT 2019,3,BatchId:233912;OriginalHitTemplateId:921587277;,3600,259200,Sat Apr 20 15:29:24 PDT 2019,,,3TE3O85733R3PH7OQZH6NMZP59UR2V,ARUVZL9T2O9I9,Submitted,Sat Apr 13 16:21:50 PDT 2019,Sat Apr 13 16:22:04 PDT 2019,Tue Apr 16 16:22:04 PDT 2019,,,,14,100% (22/22),100% (22/22),100% (22/22),1113183519688278016g,@G0dZeus1 @Shrawnyy @timthetatman @FortniteGame Sorry for the spelling boys texting ranting while driving isn’t a good idea :face_with_tears_of_joy::face_with_tears_of_joy:,"[{""classification"":{""label"":""Approves""}}]",,
3L1EFR8WWVOEZRPLUBRQS0Y42FPF9J,3YT1BAKETL93V15G0IH31R3NDALPH6,Tweet Opinion on Texting and Driving,Classify the opinion expressed in the tweet.,"classification, text",$0.01 ,Sat Apr 13 15:29:24 PDT 2019,3,BatchId:233912;OriginalHitTemplateId:921587277;,3600,259200,Sat Apr 20 15:29:24 PDT 2019,,,3IGI0VL64A3WHQ41KQYMLFXI5H1NO9,ARUVZL9T2O9I9,Submitted,Sat Apr 13 16:09:05 PDT 2019,Sat Apr 13 16:09:10 PDT 2019,Tue Apr 16 16:09:10 PDT 2019,,,,5,100% (22/22),100% (22/22),100% (22/22),1114441537461653504h,RT @love_corey: I seen this lady texting and  driving on the highway the other day this is not safe #likeitornot @MarinaMarraco @nicksmithn…,"[{""classification"":{""label"":""Disapproves""}}]",,
3S1L4CQSFZOS4AZQMH5QOV9O8X7FAY,3YT1BAKETL93V15G0IH31R3NDALPH6,Tweet Opinion on Texting and Driving,Classify the opinion expressed in the tweet.,"classification, text",$0.01 ,Sat Apr 13 15:29:24 PDT 2019,3,BatchId:233912;OriginalHitTemplateId:921587277;,3600,259200,Sat Apr 20 15:29:24 PDT 2019,,,3DYGAII7PORZ5NTUFI3IE9XDKXKQPG,ARUVZL9T2O9I9,Submitted,Sat Apr 13 16:12:37 PDT 2019,Sat Apr 13 16:12:54 PDT 2019,Tue Apr 16 16:12:54 PDT 2019,,,,17,100% (22/22),100% (22/22),100% (22/22),1114223675652419584j,It's distracted driving awareness month and California Highway Patrol is cracking down on distracting activities like eating and texting. @_Ezelidon  spoke with one woman who was hit head-on by a distracted driver while her 10-month-old was in the car. https://t.co/ss0wThk4bd,"[{""classification"":{""label"":""Disapproves""}}]",,
3S1L4CQSFZOS4AZQMH5QOV9O8X7AFT,3YT1BAKETL93V15G0IH31R3NDALPH6,Tweet Opinion on Texting and Driving,Classify the opinion expressed in the tweet.,"classification, text",$0.01 ,Sat Apr 13 15:29:24 PDT 2019,3,BatchId:233912;OriginalHitTemplateId:921587277;,3600,259200,Sat Apr 20 15:29:24 PDT 2019,,,333U7HK6ICY9U3MRFJSEHE42SJPDJY,ARUVZL9T2O9I9,Submitted,Sat Apr 13 16:09:32 PDT 2019,Sat Apr 13 16:09:52 PDT 2019,Tue Apr 16 16:09:52 PDT 2019,,,,20,100% (22/22),100% (22/22),100% (22/22),1114882074761154560z,"@AkokoFelix Means everything! Every weekend I go out, I’m concerned about drunk people driving or texting....","[{""classification"":{""label"":""Disapproves""}}]",,
3X4Q1O9UBJ54RLELEHCW1YGCZQS7OL,3YT1BAKETL93V15G0IH31R3NDALPH6,Tweet Opinion on Texting and Driving,Classify the opinion expressed in the tweet.,"classification, text",$0.01 ,Sat Apr 13 15:29:24 PDT 2019,3,BatchId:233912;OriginalHitTemplateId:921587277;,3600,259200,Sat Apr 20 15:29:24 PDT 2019,,,3X87C8JFV9UWIF9M7Z7C9E2O7HRQSW,ARUVZL9T2O9I9,Submitted,Sat Apr 13 16:17:01 PDT 2019,Sat Apr 13 16:17:35 PDT 2019,Tue Apr 16 16:17:35 PDT 2019,,,,34,100% (22/22),100% (22/22),100% (22/22),1114027595950170112i,"@Slinky_The_Cat @TinyPearlCat @moothemousecat @cobalttash @CinniMini2 Yeah it’s crummy  _ now I’m driving in the pouring rain I’m using the voice activation so better than texting but I still should be paying Maybe I’ll check when I get home and see if any late night pawtiers Are still up , otherwise hopes to see you next week! #nipclub","[{""classification"":{""label"":""Disapproves""}}]",,
37VE3DA4YW0H1GVONLTMMR576U5HBT,3YT1BAKETL93V15G0IH31R3NDALPH6,Tweet Opinion on Texting and Driving,Classify the opinion expressed in the tweet.,"classification, text",$0.01 ,Sat Apr 13 15:29:24 PDT 2019,3,BatchId:233912;OriginalHitTemplateId:921587277;,3600,259200,Sat Apr 20 15:29:24 PDT 2019,,,3AWETUDC95BG2T7HPJWBW5853MAIZQ,ARUVZL9T2O9I9,Submitted,Sat Apr 13 16:23:48 PDT 2019,Sat Apr 13 16:23:55 PDT 2019,Tue Apr 16 16:23:55 PDT 2019,,,,7,100% (22/22),100% (22/22),100% (22/22),1115036273922781186f,IM NOT KIDDING. then he started texting while driving.. a MOTORCYCLE!! https://t.co/cyXtRsczDk,"[{""classification"":{""label"":""Disapproves""}}]",,
3I4E7AFQ2MIDO8KVB7NSYYR8PT9JTQ,3YT1BAKETL93V15G0IH31R3NDALPH6,Tweet Opinion on Texting and Driving,Classify the opinion expressed in the tweet.,"classification, text",$0.01 ,Sat Apr 13 15:29:24 PDT 2019,3,BatchId:233912;OriginalHitTemplateId:921587277;,3600,259200,Sat Apr 20 15:29:24 PDT 2019,,,3X66WABAJZ11L9UTEO1Z7SQA9EJG3Z,ARUVZL9T2O9I9,Submitted,Sat Apr 13 16:10:28 PDT 2019,Sat Apr 13 16:10:33 PDT 2019,Tue Apr 16 16:10:33 PDT 2019,,,,5,100% (22/22),100% (22/22),100% (22/22),1115645727336738818b,@GadSaad No texting and driving!,"[{""classification"":{""label"":""Disapproves""}}]",,
3UUSLRKAUNMDNONWO8YGQ44DVCLD7U,3YT1BAKETL93V15G0IH31R3NDALPH6,Tweet Opinion on Texting and Driving,Classify the opinion expressed in the tweet.,"classification, text",$0.01 ,Sat Apr 13 15:29:24 PDT 2019,3,BatchId:233912;OriginalHitTemplateId:921587277;,3600,259200,Sat Apr 20 15:29:24 PDT 2019,,,3WMOAN2SREGR7ADYL2K0G7RQ1AYNVB,ARUVZL9T2O9I9,Submitted,Sat Apr 13 16:14:55 PDT 2019,Sat Apr 13 16:15:06 PDT 2019,Tue Apr 16 16:15:06 PDT 2019,,,,11,100% (22/22),100% (22/22),100% (22/22),1113583271537987584r,RT @PlasticSafety: What can be done to prevent texting while driving when we feel pressure to always multitask?   https://t.co/XBljGzZpLe,"[{""classification"":{""label"":""Disapproves""}}]",,
3OKP4QVBP4GYIAVLX1B86G909C7AGS,3YT1BAKETL93V15G0IH31R3NDALPH6,Tweet Opinion on Texting and Driving,Classify the opinion expressed in the tweet.,"classification, text",$0.01 ,Sat Apr 13 15:29:24 PDT 2019,3,BatchId:233912;OriginalHitTemplateId:921587277;,3600,259200,Sat Apr 20 15:29:24 PDT 2019,,,3IAEQB9FMH3V0NMQMIBT64YAUFYDWT,ARUVZL9T2O9I9,Submitted,Sat Apr 13 16:20:30 PDT 2019,Sat Apr 13 16:20:36 PDT 2019,Tue Apr 16 16:20:36 PDT 2019,,,,6,100% (22/22),100% (22/22),100% (22/22),1115303912444051456o,Time for some more campaigns against texting while driving @nzta_news @NZTAAkl @NZTAWgtn @NZTAWaiBoP @NZTACWC @NZTAeducation @nzpolice https://t.co/ff2Q3WjUdJ,"[{""classification"":{""label"":""Disapproves""}}]",,
3WGZLY9VCJ5HN2SFYDQM44086WRD8H,3YT1BAKETL93V15G0IH31R3NDALPH6,Tweet Opinion on Texting and Driving,Classify the opinion expressed in the tweet.,"classification, text",$0.01 ,Sat Apr 13 15:29:24 PDT 2019,3,BatchId:233912;OriginalHitTemplateId:921587277;,3600,259200,Sat Apr 20 15:29:24 PDT 2019,,,31LM9EDVOOBIGFD44D6HDJGW6NRNJQ,ARUVZL9T2O9I9,Submitted,Sat Apr 13 16:06:18 PDT 2019,Sat Apr 13 16:06:26 PDT 2019,Tue Apr 16 16:06:26 PDT 2019,,,,8,100% (22/22),100% (22/22),100% (22/22),1114917568471498753b,":hundred_points::hundred_points::hundred_points: Although we all want safer drivers on the road, we are very lackadaisical when it comes to texting and driving. This is where trying to communicate the intangible or often avoided/ ignored can only be done through ART and an understanding of CONTEXT. @OnAEA https://t.co/YH1jlUknfg","[{""classification"":{""label"":""Disapproves""}}]",,
3EKZL9T8YA50BLNU1LPHXBBPOF5HC0,3YT1BAKETL93V15G0IH31R3NDALPH6,Tweet Opinion on Texting and Driving,Classify the opinion expressed in the tweet.,"classification, text",$0.01 ,Sat Apr 13 15:29:24 PDT 2019,3,BatchId:233912;OriginalHitTemplateId:921587277;,3600,259200,Sat Apr 20 15:29:24 PDT 2019,,,3H8DHMCCWCU45NS9X4SQIT4F78PDKX,ARUVZL9T2O9I9,Submitted,Sat Apr 13 16:10:39 PDT 2019,Sat Apr 13 16:10:52 PDT 2019,Tue Apr 16 16:10:52 PDT 2019,,,,13,100% (22/22),100% (22/22),100% (22/22),1113848312925495297x,"I hate driving, especially in a big city. I’ll look to my left or right and see you dumb bitches texting","[{""classification"":{""label"":""Disapproves""}}]",,
335HHSX8CFOAGDT81HKSHHT79FHHD0,3YT1BAKETL93V15G0IH31R3NDALPH6,Tweet Opinion on Texting and Driving,Classify the opinion expressed in the tweet.,"classification, text",$0.01 ,Sat Apr 13 15:29:24 PDT 2019,3,BatchId:233912;OriginalHitTemplateId:921587277;,3600,259200,Sat Apr 20 15:29:24 PDT 2019,,,3P529IW9K14CNDON9AZHLTKF8LALFJ,ARUVZL9T2O9I9,Submitted,Sat Apr 13 16:15:41 PDT 2019,Sat Apr 13 16:16:00 PDT 2019,Tue Apr 16 16:16:00 PDT 2019,,,,19,100% (22/22),100% (22/22),100% (22/22),1112791900329791495v,Officer: you are texting & driving  Me: no I'm not  Officer:  Me: I'm explaining to my father that citing fox news in his climate change denier argument is ideologically lazy and that calling AOC hysterical is inherently sexist bc of the history of the word's usage  AND  driving https://t.co/R4moHINj5j,"[{""classification"":{""label"":""Approves""}}]",,
3S8APUMBJZ2XNK4ISV5MJ6TUQFSFBT,3YT1BAKETL93V15G0IH31R3NDALPH6,Tweet Opinion on Texting and Driving,Classify the opinion expressed in the tweet.,"classification, text",$0.01 ,Sat Apr 13 15:29:24 PDT 2019,3,BatchId:233912;OriginalHitTemplateId:921587277;,3600,259200,Sat Apr 20 15:29:24 PDT 2019,,,3KYQYYSHYYQNVEDOVWKJPALORDZDOH,ARUVZL9T2O9I9,Submitted,Sat Apr 13 16:14:07 PDT 2019,Sat Apr 13 16:14:13 PDT 2019,Tue Apr 16 16:14:13 PDT 2019,,,,6,100% (22/22),100% (22/22),100% (22/22),1113956182367059969u,"Well fuck. That's what I get for texting and driving. But fuck yes to answer your question, @josemangin","[{""classification"":{""label"":""Approves""}}]",,
3VAOOVPI31BV0L0Q5JXESMUJZ5SLLR,3YT1BAKETL93V15G0IH31R3NDALPH6,Tweet Opinion on Texting and Driving,Classify the opinion expressed in the tweet.,"classification, text",$0.01 ,Sat Apr 13 15:29:24 PDT 2019,3,BatchId:233912;OriginalHitTemplateId:921587277;,3600,259200,Sat Apr 20 15:29:24 PDT 2019,,,369J354OFGT0ISHBXQZXEV2UJ5LG65,ARUVZL9T2O9I9,Submitted,Sat Apr 13 16:15:30 PDT 2019,Sat Apr 13 16:15:40 PDT 2019,Tue Apr 16 16:15:40 PDT 2019,,,,10,100% (22/22),100% (22/22),100% (22/22),1115652184035737606i,Do you use Waze? Other GPS? You'd be amazed at how many people think that distracted driving only includes texting. Make sure you know what you're getting yourself into when you use your phone while driving. https://t.co/lyNPTg4nXQ,"[{""classification"":{""label"":""Disapproves""}}]",,
3DFYDSXB2YJSOLZKBCD23UDA87GJUH,3YT1BAKETL93V15G0IH31R3NDALPH6,Tweet Opinion on Texting and Driving,Classify the opinion expressed in the tweet.,"classification, text",$0.01 ,Sat Apr 13 15:29:24 PDT 2019,3,BatchId:233912;OriginalHitTemplateId:921587277;,3600,259200,Sat Apr 20 15:29:24 PDT 2019,,,3WEV0KO0OPB2T65H2D1S9FVPO22DSE,ARUVZL9T2O9I9,Submitted,Sat Apr 13 16:17:51 PDT 2019,Sat Apr 13 16:17:56 PDT 2019,Tue Apr 16 16:17:56 PDT 2019,,,,5,100% (22/22),100% (22/22),100% (22/22),1113839342043181060r,Bans on texting while driving tied to drop in hospital visits for crash injuries https://t.co/tyPhdNozEe,"[{""classification"":{""label"":""Disapproves""}}]",,
3ZXV7Q5FJD7GXPWO6V1HUQZC80SFC0,3YT1BAKETL93V15G0IH31R3NDALPH6,Tweet Opinion on Texting and Driving,Classify the opinion expressed in the tweet.,"classification, text",$0.01 ,Sat Apr 13 15:29:24 PDT 2019,3,BatchId:233912;OriginalHitTemplateId:921587277;,3600,259200,Sat Apr 20 15:29:24 PDT 2019,,,3X3OR7WPZ2J38YE01WTBB13TLHXL82,ARUVZL9T2O9I9,Submitted,Sat Apr 13 16:08:12 PDT 2019,Sat Apr 13 16:08:24 PDT 2019,Tue Apr 16 16:08:24 PDT 2019,,,,12,100% (22/22),100% (22/22),100% (22/22),1115712760019427328b,"@SDSheriff @NHTSAgov I have my Apple cell phone set so when I get a text while I am driving, the person texting gets an automatic message that I will respond when I have reached my destination. Available on all phones and easy to set up under ""Do not Disturb"" in Settings.","[{""classification"":{""label"":""Disapproves""}}]",,
3OZ4VAIBEZYS10OKG2N7ZGFTMEPJV6,3YT1BAKETL93V15G0IH31R3NDALPH6,Tweet Opinion on Texting and Driving,Classify the opinion expressed in the tweet.,"classification, text",$0.01 ,Sat Apr 13 15:29:25 PDT 2019,3,BatchId:233912;OriginalHitTemplateId:921587277;,3600,259200,Sat Apr 20 15:29:25 PDT 2019,,,36V4Q8R5ZNJTKKWHN2BQX53IFS9QMK,ARUVZL9T2O9I9,Submitted,Sat Apr 13 16:10:15 PDT 2019,Sat Apr 13 16:10:22 PDT 2019,Tue Apr 16 16:10:22 PDT 2019,,,,7,100% (22/22),100% (22/22),100% (22/22),1115283348874825729y,@nytimes So who’s gonna sue Budweiser or Miller for DUI deaths or Apple for deaths from texting and driving? Grief is hard but being stupid doesn’t fix it!,"[{""classification"":{""label"":""Disapproves""}}]",,
3OEWW2KGQLUK8UFV5UFI1QQ8L1VODV,3YT1BAKETL93V15G0IH31R3NDALPH6,Tweet Opinion on Texting and Driving,Classify the opinion expressed in the tweet.,"classification, text",$0.01 ,Sat Apr 13 15:29:25 PDT 2019,3,BatchId:233912;OriginalHitTemplateId:921587277;,3600,259200,Sat Apr 20 15:29:25 PDT 2019,,,3300DTYQT50V8W4464N7KXY96QIQEV,ARUVZL9T2O9I9,Submitted,Sat Apr 13 16:05:03 PDT 2019,Sat Apr 13 16:05:14 PDT 2019,Tue Apr 16 16:05:14 PDT 2019,,,,11,100% (22/22),100% (22/22),100% (22/22),1114341899337228288l,"Since I understand the physics of collision in stop-go-traffic, I much rather take the car service Escalades and Suburbans; people driving while texting and ironing their clothes tend to collide less with giant black SUVs; probably think they are governmental. Also, mass.","[{""classification"":{""label"":""Disapproves""}}]",,
3OND0WXMHYYF8J78XCVCNZBS9RIHET,3YT1BAKETL93V15G0IH31R3NDALPH6,Tweet Opinion on Texting and Driving,Classify the opinion expressed in the tweet.,"classification, text",$0.01 ,Sat Apr 13 15:29:25 PDT 2019,3,BatchId:233912;OriginalHitTemplateId:921587277;,3600,259200,Sat Apr 20 15:29:25 PDT 2019,,,3R6BYFZZPAV7N75CNT25WNF2FUKFXZ,ARUVZL9T2O9I9,Submitted,Sat Apr 13 16:05:44 PDT 2019,Sat Apr 13 16:05:55 PDT 2019,Tue Apr 16 16:05:55 PDT 2019,,,,11,100% (22/22),100% (22/22),100% (22/22),1113249712042151936z,:construction:Distracted Driving Awareness Month:construction: #Texting while driving is SIX times more dangerous than driving while intoxicated. Your #longbeachfirefighters want to encourage you NOT to use your phone while driving! #JustifyIt #distracteddrivingmonth  #longbeach #DontTEXTandDRIVE #iaff https://t.co/RytaffztsZ,"[{""classification"":{""label"":""Disapproves""}}]",,
3EKTG13IZWMF63IB5VYTSZ98ZAILMT,3YT1BAKETL93V15G0IH31R3NDALPH6,Tweet Opinion on Texting and Driving,Classify the opinion expressed in the tweet.,"classification, text",$0.01 ,Sat Apr 13 15:29:25 PDT 2019,3,BatchId:233912;OriginalHitTemplateId:921587277;,3600,259200,Sat Apr 20 15:29:25 PDT 2019,,,3NLZY2D53S89E2EWNQABXSOTFNJLQD,ARUVZL9T2O9I9,Submitted,Sat Apr 13 16:23:55 PDT 2019,Sat Apr 13 16:24:00 PDT 2019,Tue Apr 16 16:24:00 PDT 2019,,,,5,100% (22/22),100% (22/22),100% (22/22),1114106856350392321g,RT @emmasonny1123: I see 110% more adults texting and driving than teenagers,"[{""classification"":{""label"":""Neither/Unknown""}}]",,
3Y3CZJSZ9MCS1USIIGE3X97LJ7HR5Z,3YT1BAKETL93V15G0IH31R3NDALPH6,Tweet Opinion on Texting and Driving,Classify the opinion expressed in the tweet.,"classification, text",$0.01 ,Sat Apr 13 15:29:25 PDT 2019,3,BatchId:233912;OriginalHitTemplateId:921587277;,3600,259200,Sat Apr 20 15:29:25 PDT 2019,,,3TOK3KHVJW17E5CE4JHXPIBS52WO7Z,ARUVZL9T2O9I9,Submitted,Sat Apr 13 16:23:06 PDT 2019,Sat Apr 13 16:23:11 PDT 2019,Tue Apr 16 16:23:11 PDT 2019,,,,5,100% (22/22),100% (22/22),100% (22/22),1114245822575710208r,"""Texas A&M School of Public Health researchers found that states with a primary texting ban on all drivers on average saw an 8% reduction in ED visits resulting from a motor vehicle crash.""  Full story: https://t.co/F8b9PdU6Xm","[{""classification"":{""label"":""Disapproves""}}]",,
39WSF6KUV44P00TV1PQ2788TLDWOEO,3YT1BAKETL93V15G0IH31R3NDALPH6,Tweet Opinion on Texting and Driving,Classify the opinion expressed in the tweet.,"classification, text",$0.01 ,Sat Apr 13 15:29:25 PDT 2019,3,BatchId:233912;OriginalHitTemplateId:921587277;,3600,259200,Sat Apr 20 15:29:25 PDT 2019,,,3QHK8ZVMIP1MAWC748DL23TUTNILB1,ARUVZL9T2O9I9,Submitted,Sat Apr 13 16:11:14 PDT 2019,Sat Apr 13 16:11:21 PDT 2019,Tue Apr 16 16:11:21 PDT 2019,,,,7,100% (22/22),100% (22/22),100% (22/22),1115223123203448833d,68% of teens admit to checking apps while driving.  Parents can have peace of mind by giving their teen a dash cam.  _ #driving #texting #safety #donttextanddrive #dashcam #teendrivers https://t.co/yMV7BIEs30,"[{""classification"":{""label"":""Disapproves""}}]",,
3QMELQS6Y7UOKYSWNZO8PFLLF2SR6F,3YT1BAKETL93V15G0IH31R3NDALPH6,Tweet Opinion on Texting and Driving,Classify the opinion expressed in the tweet.,"classification, text",$0.01 ,Sat Apr 13 15:29:25 PDT 2019,3,BatchId:233912;OriginalHitTemplateId:921587277;,3600,259200,Sat Apr 20 15:29:25 PDT 2019,,,3RXCAC0YIU8NM60ZQ5WVY9YLP0BG8R,ARUVZL9T2O9I9,Submitted,Sat Apr 13 16:16:50 PDT 2019,Sat Apr 13 16:17:01 PDT 2019,Tue Apr 16 16:17:01 PDT 2019,,,,11,100% (22/22),100% (22/22),100% (22/22),1115404031604789248j,@TM2LeahDawn :face_with_tears_of_joy::face_with_tears_of_joy: like others don’t do the same. People are so damn judgmental! I’m sure the ones talking smack also are texting and driving while talking smack.,"[{""classification"":{""label"":""Approves""}}]",,
3OID399FXIQQ2H226RWSEWHUT04FD0,3YT1BAKETL93V15G0IH31R3NDALPH6,Tweet Opinion on Texting and Driving,Classify the opinion expressed in the tweet.,"classification, text",$0.01 ,Sat Apr 13 15:29:25 PDT 2019,3,BatchId:233912;OriginalHitTemplateId:921587277;,3600,259200,Sat Apr 20 15:29:25 PDT 2019,,,3PPTZCWALT3TJRV02R1K57ZRUWRQZ1,ARUVZL9T2O9I9,Submitted,Sat Apr 13 16:20:24 PDT 2019,Sat Apr 13 16:20:29 PDT 2019,Tue Apr 16 16:20:29 PDT 2019,,,,5,100% (22/22),100% (22/22),100% (22/22),1114611444828471303a,Ok Twitter fam settle an argument with my hubs.  Is texting while sitting at a red light/stopped traffic still texting while driving?,"[{""classification"":{""label"":""Neither/Unknown""}}]",,
385MDVINFEY5GPOP6CS3LIY7TNRJWG,3YT1BAKETL93V15G0IH31R3NDALPH6,Tweet Opinion on Texting and Driving,Classify the opinion expressed in the tweet.,"classification, text",$0.01 ,Sat Apr 13 15:29:25 PDT 2019,3,BatchId:233912;OriginalHitTemplateId:921587277;,3600,259200,Sat Apr 20 15:29:25 PDT 2019,,,3FQ5JJ512O7DRZJMMY6TEYG9LCRNKP,ARUVZL9T2O9I9,Submitted,Sat Apr 13 16:08:02 PDT 2019,Sat Apr 13 16:08:11 PDT 2019,Tue Apr 16 16:08:11 PDT 2019,,,,9,100% (22/22),100% (22/22),100% (22/22),1115633346187530240b,texting and driving is bad but have you ever texted while walking down some stairs THATS LETHAL,"[{""classification"":{""label"":""Disapproves""}}]",,
3EN4YVUOUEBK5PTFGHOPN1CE2PXJX9,3YT1BAKETL93V15G0IH31R3NDALPH6,Tweet Opinion on Texting and Driving,Classify the opinion expressed in the tweet.,"classification, text",$0.01 ,Sat Apr 13 15:29:25 PDT 2019,3,BatchId:233912;OriginalHitTemplateId:921587277;,3600,259200,Sat Apr 20 15:29:25 PDT 2019,,,374TNBHA8EETE1LV65Z1R0QPO2NQYA,ARUVZL9T2O9I9,Submitted,Sat Apr 13 16:20:04 PDT 2019,Sat Apr 13 16:20:11 PDT 2019,Tue Apr 16 16:20:11 PDT 2019,,,,7,100% (22/22),100% (22/22),100% (22/22),1114584373007921152f,Rhode Island State Police troopers have been assigned to extra patrols to enforce the state's bans on texting or talking on a hand-held cellphone while driving.  https://t.co/1b0DYSZAQ1,"[{""classification"":{""label"":""Disapproves""}}]",,
3RSBJ6YZEE9H6ETRW0A8PQTTXEBOF6,3YT1BAKETL93V15G0IH31R3NDALPH6,Tweet Opinion on Texting and Driving,Classify the opinion expressed in the tweet.,"classification, text",$0.01 ,Sat Apr 13 15:29:25 PDT 2019,3,BatchId:233912;OriginalHitTemplateId:921587277;,3600,259200,Sat Apr 20 15:29:25 PDT 2019,,,36ZN444YTUH43PTANALUG711JI7IOO,ARUVZL9T2O9I9,Submitted,Sat Apr 13 16:14:35 PDT 2019,Sat Apr 13 16:14:49 PDT 2019,Tue Apr 16 16:14:49 PDT 2019,,,,14,100% (22/22),100% (22/22),100% (22/22),1115606463391522816f,@AllMeForeallll_ Thank you girl. Texting and damn driving,"[{""classification"":{""label"":""Approves""}}]",,
